accuracy,attack_recall,benign_pass_rate,experiment_id,macro_f1,perturbation,safe_f1,safe_precision,safe_recall,safe_support,unsafe_f1,unsafe_precision,unsafe_recall,unsafe_support
0.61722581910928,0.17740998838559816,0.9777460430798525,baseline_policy_a,0.5159606334594826,original,0.7373569665694413,0.5918455553954761,0.9777460430798525,8403,0.2945643003495239,0.8672817601135557,0.17740998838559816,6888
0.61722581910928,0.17740998838559816,0.9777460430798525,baseline_policy_a,0.5159606334594826,casing,0.7373569665694413,0.5918455553954761,0.9777460430798525,8403,0.2945643003495239,0.8672817601135557,0.17740998838559816,6888
0.5495389444771435,0.0,1.0,baseline_policy_a,0.35464674601164853,typoglycemia,0.7092934920232971,0.5495389444771435,1.0,8403,0.0,0.0,0.0,6888
0.5495389444771435,0.0,1.0,baseline_policy_a,0.35464674601164853,base64_wrapper,0.7092934920232971,0.5495389444771435,1.0,8403,0.0,0.0,0.0,6888
0.61722581910928,0.17740998838559816,0.9777460430798525,baseline_policy_a,0.5159606334594826,instruction_sandwich,0.7373569665694413,0.5918455553954761,0.9777460430798525,8403,0.2945643003495239,0.8672817601135557,0.17740998838559816,6888
0.6326597344843372,0.23403019744483158,0.9594192550279662,strict_policy_b,0.553152424819528,original,0.741640218941171,0.6044384465437097,0.9594192550279662,8403,0.36466463069788485,0.8253968253968254,0.23403019744483158,6888
0.6326597344843372,0.23403019744483158,0.9594192550279662,strict_policy_b,0.553152424819528,casing,0.741640218941171,0.6044384465437097,0.9594192550279662,8403,0.36466463069788485,0.8253968253968254,0.23403019744483158,6888
0.5526126479628539,0.006968641114982578,0.9998809948827799,strict_policy_b,0.36225881283666095,typoglycemia,0.7106787904419539,0.551239994751345,0.9998809948827799,8403,0.013838835231368026,0.9795918367346939,0.006968641114982578,6888
0.5495389444771435,0.0,1.0,strict_policy_b,0.35464674601164853,base64_wrapper,0.7092934920232971,0.5495389444771435,1.0,8403,0.0,0.0,0.0,6888
0.4504610555228566,1.0,0.0,strict_policy_b,0.31056404707155416,instruction_sandwich,0.0,0.0,0.0,8403,0.6211280941431083,0.4504610555228566,1.0,6888
0.6480282519128899,0.32650987224157957,0.9115791979055099,detector_policy_c,0.5976441381203952,original,0.7400251183460536,0.6228148629969916,0.9115791979055099,8403,0.45526315789473687,0.7516711229946524,0.32650987224157957,6888
0.6480282519128899,0.32650987224157957,0.9115791979055099,detector_policy_c,0.5976441381203952,casing,0.7400251183460536,0.6228148629969916,0.9115791979055099,8403,0.45526315789473687,0.7516711229946524,0.32650987224157957,6888
0.5526126479628539,0.006968641114982578,0.9998809948827799,detector_policy_c,0.36225881283666095,typoglycemia,0.7106787904419539,0.551239994751345,0.9998809948827799,8403,0.013838835231368026,0.9795918367346939,0.006968641114982578,6888
0.5495389444771435,0.0,1.0,detector_policy_c,0.35464674601164853,base64_wrapper,0.7092934920232971,0.5495389444771435,1.0,8403,0.0,0.0,0.0,6888
0.4504610555228566,1.0,0.0,detector_policy_c,0.31056404707155416,instruction_sandwich,0.0,0.0,0.0,8403,0.6211280941431083,0.4504610555228566,1.0,6888
